Código IBGE;UF;MUNICiPIO;CoDIGO_NACIONAL
2503209;PB;CABEDELO;83
2503100;PB;CABACEIRAS;83
2503001;PB;CAAPORÃ;83
2502904;PB;BREJO DOS SANTOS;83
2502805;PB;BREJO DO CRUZ;83
2502706;PB;BORBOREMA;83
2502607;PB;IGARACY;83
2502508;PB;BOQUEIRÃO;83
2502409;PB;BONITO DE SANTA FÉ;83
2502300;PB;BOM SUCESSO;83
2502201;PB;BOM JESUS;83
2502151;PB;BOA VISTA;83
2502102;PB;BOA VENTURA;83
2502052;PB;BERNARDINO BATISTA;83
2502003;PB;BELÉM DO BREJO DO CRUZ;83
2501906;PB;BELÉM;83
2501807;PB;BAYEUX;83
2501708;PB;BARRA DE SÃO MIGUEL;83
2501609;PB;BARRA DE SANTA ROSA;83
2501575;PB;BARRA DE SANTANA;83
2501500;PB;BANANEIRAS;83
2501401;PB;BAÍA DA TRAIÇÃO;83
2501351;PB;ASSUNÇÃO;83
2501302;PB;AROEIRAS;83
2501203;PB;AREIAL;83
2501153;PB;AREIA DE BARAÚNAS;83
2501104;PB;AREIA;83
2501005;PB;ARARUNA;83
2500908;PB;ARARA;83
2500809;PB;ARAÇAGI;83
2500775;PB;APARECIDA;83
2500734;PB;AMPARO;83
2500700;PB;SÃO JOÃO DO RIO DO PEIXE;83
2500601;PB;ALHANDRA;83
2500577;PB;ALGODÃO DE JANDAÍRA;83
2500536;PB;ALCANTIL;83
2500502;PB;ALAGOINHA;83
2500403;PB;ALAGOA NOVA;83
2500304;PB;ALAGOA GRANDE;83
2500205;PB;AGUIAR;83
2500106;PB;ÁGUA BRANCA;83
2414902;RN;VIÇOSA;84
2414803;RN;VERA CRUZ;84
2414753;RN;VENHA-VER;84
2414704;RN;VÁRZEA;84
2414605;RN;UPANEMA;84
2414506;RN;UMARIZAL;84
2414456;RN;TRIUNFO POTIGUAR;84
2414407;RN;TOUROS;84
2414308;RN;TIMBAÚBA DOS BATISTAS;84
2414209;RN;TIBAU DO SUL;84
2414159;RN;TENENTE LAURENTINO CRUZ;84
2414100;RN;TENENTE ANANIAS;84
2414001;RN;TANGARÁ;84
2413904;RN;TAIPU;84
2413805;RN;TABOLEIRO GRANDE;84
2413706;RN;SÍTIO NOVO;84
2413607;RN;SEVERIANO MELO;84
2413557;RN;SERRINHA DOS PINTOS;84
2413508;RN;SERRINHA;84
2413409;RN;SERRA NEGRA DO NORTE;84
2413359;RN;SERRA DO MEL;84
2413300;RN;SERRA DE SÃO BENTO;84
2413201;RN;SENADOR GEORGINO AVELINO;84
2413102;RN;SENADOR ELÓI DE SOUZA;84
2413003;RN;SÃO VICENTE;84
2412906;RN;SÃO TOMÉ;84
2412807;RN;SÃO RAFAEL;84
2412708;RN;SÃO PEDRO;84
2412609;RN;SÃO PAULO DO POTENGI;84
2412500;RN;SÃO MIGUEL;84
2412401;RN;SÃO JOSÉ DO SERIDÓ;84
2412203;RN;SÃO JOSÉ DE MIPIBU;84
2412104;RN;SÃO JOÃO DO SABUGI;84
2412005;RN;SÃO GONÇALO DO AMARANTE;84
2411908;RN;SÃO FRANCISCO DO OESTE;84
2411809;RN;SÃO FERNANDO;84
2411700;RN;SÃO BENTO DO TRAIRÍ;84
2411601;RN;SÃO BENTO DO NORTE;84
2411502;RN;SANTO ANTÔNIO;84
2411429;RN;SANTANA DO SERIDÓ;84
2411403;RN;SANTANA DO MATOS;84
2411205;RN;SANTA CRUZ;84
2411106;RN;RUY BARBOSA;84
2411056;RN;TIBAU;84
2411007;RN;RODOLFO FERNANDES;84
2410900;RN;RIACHUELO;84
2410801;RN;RIACHO DE SANTANA;84
2410702;RN;RIACHO DA CRUZ;84
2410603;RN;RAFAEL GODEIRO;84
2410504;RN;RAFAEL FERNANDES;84
2410405;RN;PUREZA;84
2410306;RN;SERRA CAIADA;84
2410256;RN;PORTO DO MANGUE;84
2410207;RN;PORTALEGRE;84
2410108;RN;POÇO BRANCO;84
2410009;RN;PILÕES;84
2409902;RN;PENDÊNCIAS;84
2409803;RN;PEDRO VELHO;84
2409704;RN;PEDRO AVELINO;84
2409605;RN;PEDRA PRETA;84
2409506;RN;PEDRA GRANDE;84
2409407;RN;PAU DOS FERROS;84
2409332;RN;SANTA MARIA;84
2409209;RN;PASSAGEM;84
2409100;RN;PASSA E FICA;84
2408953;RN;RIO DO FOGO;84
2408904;RN;PARELHAS;84
2408805;RN;PARAZINHO;84
2408607;RN;PARANÁ;84
2408508;RN;OURO BRANCO;84
2408409;RN;OLHO-D'ÁGUA DO BORGES;84
2408300;RN;NOVA CRUZ;84
2408201;RN;NÍSIA FLORESTA;84
2408102;RN;NATAL;84
2408003;RN;MOSSORÓ;84
2407906;RN;MONTE DAS GAMELEIRAS;84
2407807;RN;MONTE ALEGRE;84
2407708;RN;MONTANHAS;84
2407609;RN;MESSIAS TARGINO;84
2407500;RN;MAXARANGUAPE;84
2407401;RN;MARTINS;84
2407302;RN;MARCELINO VIEIRA;84
2407252;RN;MAJOR SALES;84
2407203;RN;MACAU;84
2407104;RN;MACAÍBA;84
2407005;RN;LUÍS GOMES;84
2406908;RN;LUCRÉCIA;84
2406809;RN;LAJES PINTADAS;84
2406700;RN;LAJES;84
2406601;RN;LAGOA SALGADA;84
2406502;RN;LAGOA NOVA;84
2406403;RN;LAGOA DE VELHOS;84
2406304;RN;LAGOA DE PEDRAS;84
2406205;RN;LAGOA D'ANTA;84
2406106;RN;JUCURUTU;84
2406007;RN;JOSÉ DA PENHA;84
2405900;RN;JOÃO DIAS;84
2405801;RN;JOÃO CÂMARA;84
2405702;RN;JARDIM DO SERIDÓ;84
2405603;RN;JARDIM DE PIRANHAS;84
2405504;RN;JARDIM DE ANGICOS;84
2405405;RN;JAPI;84
2405207;RN;JANDUÍS;84
2405108;RN;JANDAÍRA;84
2405009;RN;JAÇANÃ;84
2404903;RN;ITAÚ;84
2404853;RN;ITAJÁ;84
2404804;RN;IPUEIRA;84
2404705;RN;IPANGUAÇU;84
2404606;RN;IELMO MARINHO;84
2404507;RN;GUAMARÉ;84
2404408;RN;GROSSOS;84
2404309;RN;GOVERNADOR DIX-SEPT ROSADO;84
2404200;RN;GOIANINHA;84
2404101;RN;GALINHOS;84
2404002;RN;FRUTUOSO GOMES;84
2403905;RN;FRANCISCO DANTAS;84
2403806;RN;FLORÂNIA;84
2403756;RN;FERNANDO PEDROZA;84
2403707;RN;FELIPE GUERRA;84
2403608;RN;EXTREMOZ;84
2403509;RN;ESPÍRITO SANTO;84
2403400;RN;EQUADOR;84
2403301;RN;ENCANTO;84
2403251;RN;PARNAMIRIM;84
2403202;RN;DOUTOR SEVERIANO;84
2403103;RN;CURRAIS NOVOS;84
2403004;RN;CRUZETA;84
2402907;RN;CORONEL JOÃO PESSOA;84
2402808;RN;CORONEL EZEQUIEL;84
2402709;RN;CERRO CORÁ;84
2402600;RN;CEARÁ-MIRIM;84
2402501;RN;CARNAUBAIS;84
2402402;RN;CARNAÚBA DOS DANTAS;84
2402303;RN;CARAÚBAS;84
2402204;RN;CANGUARETAMA;84
2402105;RN;CAMPO REDONDO;84
2402006;RN;CAICÓ;84
2401909;RN;CAIÇARA DO RIO DO VENTO;84
2401859;RN;CAIÇARA DO NORTE;84
2401800;RN;BREJINHO;84
2401701;RN;BOM JESUS;84
2401651;RN;BODÓ;84
2401602;RN;BENTO FERNANDES;84
2401503;RN;BARCELONA;84
2401453;RN;BARAÚNA;84
2401404;RN;BAÍA FORMOSA;84
2401206;RN;ARÊS;84
2401107;RN;AREIA BRANCA;84
2401008;RN;APODI;84
2400901;RN;ANTÔNIO MARTINS;84
2400802;RN;ANGICOS;84
2400703;RN;ALTO DO RODRIGUES;84
2400604;RN;ALMINO AFONSO;84
2400505;RN;ALEXANDRIA;84
2400406;RN;ÁGUA NOVA;84
2400307;RN;AFONSO BEZERRA;84
2400208;RN;AÇU;84
2400109;RN;ACARI;84
2314102;CE;VIÇOSA DO CEARÁ;88
2314003;CE;VÁRZEA ALEGRE;88
2313955;CE;VARJOTA;88
2313906;CE;URUOCA;88
2313807;CE;URUBURETAMA;85
2313757;CE;UMIRIM;85
2313708;CE;UMARI;88
2313609;CE;UBAJARA;88
2313559;CE;TURURU;85
2313500;CE;TRAIRI;85
2313401;CE;TIANGUÁ;88
2313351;CE;TEJUÇUOCA;85
2313302;CE;TAUÁ;88
2313252;CE;TARRAFAS;88
2313203;CE;TAMBORIL;88
2313104;CE;TABULEIRO DO NORTE;88
2313005;CE;SOLONÓPOLE;88
2312908;CE;SOBRAL;88
2312809;CE;SENADOR SÁ;88
2312700;CE;SENADOR POMPEU;88
2312601;CE;SÃO LUÍS DO CURU;85
2312502;CE;SÃO JOÃO DO JAGUARIBE;88
2312403;CE;SÃO GONÇALO DO AMARANTE;85
2312304;CE;SÃO BENEDITO;88
2312205;CE;SANTA QUITÉRIA;88
2312106;CE;SANTANA DO CARIRI;88
2312007;CE;SANTANA DO ACARAÚ;88
2311959;CE;SALITRE;88
2311900;CE;SABOEIRO;88
2311801;CE;RUSSAS;88
2311702;CE;RERIUTABA;88
2311603;CE;REDENÇÃO;85
2311504;CE;QUIXERÉ;88
2311405;CE;QUIXERAMOBIM;88
2311355;CE;QUIXELÔ;88
2311306;CE;QUIXADÁ;88
2311264;CE;QUITERIANÓPOLIS;88
2311231;CE;POTIRETAMA;88
2311207;CE;POTENGI;88
2311108;CE;PORTEIRAS;88
2311009;CE;PORANGA;88
2310951;CE;PIRES FERREIRA;88
2310902;CE;PIQUET CARNEIRO;88
2310852;CE;PINDORETAMA;85
2310803;CE;PEREIRO;88
2310704;CE;PENTECOSTE;85
2310605;CE;PENAFORTE;88
2310506;CE;PEDRA BRANCA;88
2310407;CE;PARAMOTI;85
2310308;CE;PARAMBU;88
2310258;CE;PARAIPABA;85
2310209;CE;PARACURU;85
2310100;CE;PALMÁCIA;85
2310001;CE;PALHANO;88
2309904;CE;PACUJÁ;88
2309805;CE;PACOTI;85
2309706;CE;PACATUBA;85
2309607;CE;PACAJUS;85
2309508;CE;ORÓS;88
2309458;CE;OCARA;85
2309409;CE;NOVO ORIENTE;88
2309300;CE;NOVA RUSSAS;88
2309201;CE;NOVA OLINDA;88
2309102;CE;MULUNGU;85
2309003;CE;MUCAMBO;88
2308906;CE;MORRINHOS;88
2308807;CE;MORAÚJO;88
2308708;CE;MORADA NOVA;88
2308609;CE;MONSENHOR TABOSA;88
2308500;CE;MOMBAÇA;88
2308401;CE;MISSÃO VELHA;88
2308377;CE;MIRAÍMA;88
2308351;CE;MILHÃ;88
2308302;CE;MILAGRES;88
2308203;CE;MERUOCA;88
2308104;CE;MAURITI;88
2308005;CE;MASSAPÊ;88
2307908;CE;MARTINÓPOLE;88
2307809;CE;MARCO;88
2307700;CE;MARANGUAPE;85
2307650;CE;MARACANAÚ;85
2307635;CE;MADALENA;88
2307601;CE;LIMOEIRO DO NORTE;88
2307502;CE;LAVRAS DA MANGABEIRA;88
2307403;CE;JUCÁS;88
2307304;CE;JUAZEIRO DO NORTE;88
2307254;CE;JIJOCA DE JERICOACOARA;88
2307205;CE;JATI;88
2307106;CE;JARDIM;88
2307007;CE;JAGUARUANA;88
2306900;CE;JAGUARIBE;88
2306801;CE;JAGUARIBARA;88
2306702;CE;JAGUARETAMA;88
2306603;CE;ITATIRA;88
2306553;CE;ITAREMA;88
2306504;CE;ITAPIÚNA;88
2306405;CE;ITAPIPOCA;88
2306256;CE;ITAITINGA;85
2306207;CE;ITAIÇABA;88
2306108;CE;IRAUÇUBA;88
2306009;CE;IRACEMA;88
2305902;CE;IPUEIRAS;88
2305803;CE;IPU;88
2305704;CE;IPAUMIRIM;88
2305654;CE;IPAPORANGA;88
2305605;CE;INDEPENDÊNCIA;88
2305506;CE;IGUATU;88
2305407;CE;ICÓ;88
2305357;CE;ICAPUÍ;88
2305332;CE;IBICUITINGA;88
2305308;CE;IBIAPINA;88
2305266;CE;IBARETAMA;88
2305233;CE;HORIZONTE;85
2305209;CE;HIDROLÂNDIA;88
2305100;CE;GUARAMIRANGA;85
2305001;CE;GUARACIABA DO NORTE;88
2304954;CE;GUAIÚBA;85
2304905;CE;GROAÍRAS;88
2304806;CE;GRANJEIRO;88
2304707;CE;GRANJA;88
2304657;CE;GRAÇA;88
2304608;CE;GENERAL SAMPAIO;85
2304509;CE;FRECHEIRINHA;88
2304459;CE;FORTIM;88
2304400;CE;FORTALEZA;85
2304350;CE;FORQUILHA;88
2304301;CE;FARIAS BRITO;88
2304285;CE;EUSÉBIO;85
2304277;CE;ERERÊ;88
2304269;CE;DEPUTADO IRAPUAN PINHEIRO;88
2304251;CE;CRUZ;88
2304236;CE;CROATÁ;88
2304202;CE;CRATO;88
2304103;CE;CRATEÚS;88
2304004;CE;COREAÚ;88
2303956;CE;CHOROZINHO;85
2303931;CE;CHORÓ;88
2303907;CE;CHAVAL;88
2303808;CE;CEDRO;88
2303709;CE;CAUCAIA;85
2303659;CE;CATUNDA;88
2303600;CE;CATARINA;88
2303501;CE;CASCAVEL;85
2303402;CE;CARNAUBAL;88
2303303;CE;CARIÚS;88
2303204;CE;CARIRIAÇU;88
2303105;CE;CARIRÉ;88
2303006;CE;CARIDADE;85
2302909;CE;CAPISTRANO;85
2302800;CE;CANINDÉ;85
2302701;CE;CAMPOS SALES;88
2302602;CE;CAMOCIM;88
2302503;CE;BREJO SANTO;88
2302404;CE;BOA VIAGEM;88
2302305;CE;BELA CRUZ;88
2302206;CE;BEBERIBE;85
2302107;CE;BATURITÉ;85
2302057;CE;BARROQUINHA;88
2302008;CE;BARRO;88
2301950;CE;BARREIRA;85
2301901;CE;BARBALHA;88
2301851;CE;BANABUIÚ;88
2301802;CE;BAIXIO;88
2301703;CE;AURORA;88
2301604;CE;ASSARÉ;88
2301505;CE;ARNEIROZ;88
2301406;CE;ARATUBA;85
2301307;CE;ARARIPE;88
2301257;CE;ARARENDÁ;88
2301208;CE;ARACOIABA;85
2301109;CE;ARACATI;88
2301000;CE;AQUIRAZ;85
2300903;CE;APUIARÉS;85
2300804;CE;ANTONINA DO NORTE;88
2300754;CE;AMONTADA;88
2300705;CE;ALTO SANTO;88
2300606;CE;ALTANEIRA;88
2300507;CE;ALCÂNTARAS;88
2300408;CE;AIUABA;88
2300309;CE;ACOPIARA;88
2300200;CE;ACARAÚ;88
2300101;CE;ABAIARA;88
2211704;PI;WALL FERRAZ;89
2211605;PI;VILA NOVA DO PIAUÍ;89
2211506;PI;VERA MENDES;89
2211407;PI;VÁRZEA GRANDE;89
2211357;PI;VÁRZEA BRANCA;89
2211308;PI;VALENÇA DO PIAUÍ;89
2211209;PI;URUÇUÍ;89
2211100;PI;UNIÃO;86
2211001;PI;TERESINA;86
2210979;PI;TANQUE DO PIAUÍ;89
2210953;PI;TAMBORIL DO PIAUÍ;89
2210938;PI;SUSSUAPARA;89
2210904;PI;SOCORRO DO PIAUÍ;89
2210805;PI;SIMPLÍCIO MENDES;89
2210706;PI;SIMÕES;89
2210656;PI;SIGEFREDO PACHECO;86
2210631;PI;SEBASTIÃO LEAL;89
2210623;PI;SEBASTIÃO BARROS;89
2210607;PI;SÃO RAIMUNDO NONATO;89
2210508;PI;SÃO PEDRO DO PIAUÍ;86
2210409;PI;SÃO MIGUEL DO TAPUIO;86
2210391;PI;SÃO MIGUEL DO FIDALGO;89
2210383;PI;SÃO MIGUEL DA BAIXA GRANDE;86
2210375;PI;SÃO LUIS DO PIAUÍ;89
2210359;PI;SÃO LOURENÇO DO PIAUÍ;89
2210300;PI;SÃO JULIÃO;89
2210201;PI;SÃO JOSÉ DO PIAUÍ;89
2210102;PI;SÃO JOSÉ DO PEIXE;89
2210052;PI;SÃO JOSÉ DO DIVINO;86
2210003;PI;SÃO JOÃO DO PIAUÍ;89
2209971;PI;SÃO JOÃO DO ARRAIAL;86
2209955;PI;SÃO JOÃO DA VARJOTA;89
2209906;PI;SÃO JOÃO DA SERRA;86
2209872;PI;SÃO JOÃO DA FRONTEIRA;86
2209856;PI;SÃO JOÃO DA CANABRAVA;89
2209807;PI;SÃO GONÇALO DO PIAUÍ;86
2209757;PI;SÃO GONÇALO DO GURGUÉIA;89
2209708;PI;SÃO FRANCISCO DO PIAUÍ;89
2209658;PI;SÃO FRANCISCO DE ASSIS DO PIAUÍ;89
2209609;PI;SÃO FÉLIX DO PIAUÍ;86
2209559;PI;SÃO BRAZ DO PIAUÍ;89
2209500;PI;SANTO INÁCIO DO PIAUÍ;89
2209450;PI;SANTO ANTÔNIO DOS MILAGRES;86
2209401;PI;SANTO ANTÔNIO DE LISBOA;89
2209377;PI;SANTA ROSA DO PIAUÍ;89
2209351;PI;SANTANA DO PIAUÍ;89
2209302;PI;SANTA LUZ;89
2209203;PI;SANTA FILOMENA;89
2209153;PI;SANTA CRUZ DOS MILAGRES;89
2209104;PI;SANTA CRUZ DO PIAUÍ;89
2209005;PI;RIO GRANDE DO PIAUÍ;89
2208908;PI;RIBEIRO GONÇALVES;89
2208874;PI;RIBEIRA DO PIAUÍ;89
2208858;PI;RIACHO FRIO;89
2208809;PI;REGENERAÇÃO;86
2208700;PI;REDENÇÃO DO GURGUÉIA;89
2208650;PI;QUEIMADA NOVA;89
2208601;PI;PRATA DO PIAUÍ;86
2208551;PI;PORTO ALEGRE DO PIAUÍ;89
2208502;PI;PORTO;86
2208403;PI;PIRIPIRI;86
2208304;PI;PIRACURUCA;86
2208205;PI;PIO IX;89
2208106;PI;PIMENTEIRAS;89
2208007;PI;PICOS;89
2207959;PI;NOVA SANTA RITA;89
2207934;PI;PEDRO LAURENTINO;89
2207900;PI;PEDRO II;86
2207850;PI;PAVUSSU;89
2207801;PI;PAULISTANA;89
2207777;PI;PATOS DO PIAUÍ;89
2207751;PI;PASSAGEM FRANCA DO PIAUÍ;86
2207702;PI;PARNAÍBA;86
2207603;PI;PARNAGUÁ;89
2207553;PI;PAQUETÁ;89
2207504;PI;PALMEIRAIS;86
2207405;PI;PALMEIRA DO PIAUÍ;89
2207355;PI;PAJEÚ DO PIAUÍ;89
2207306;PI;PAES LANDIM;89
2207207;PI;PADRE MARCOS;89
2207108;PI;OLHO D'ÁGUA DO PIAUÍ;86
2207009;PI;OEIRAS;89
2206951;PI;NOVO SANTO ANTÔNIO;86
2206902;PI;NOVO ORIENTE DO PIAUÍ;89
2206803;PI;NOSSA SENHORA DOS REMÉDIOS;86
2206753;PI;NOSSA SENHORA DE NAZARÉ;86
2206704;PI;NAZARÉ DO PIAUÍ;89
2206696;PI;MURICI DOS PORTELAS;86
2206670;PI;MORRO DO CHAPÉU DO PIAUÍ;86
2206654;PI;MORRO CABEÇA NO TEMPO;89
2206605;PI;MONTE ALEGRE DO PIAUÍ;89
2206506;PI;MONSENHOR HIPÓLITO;89
2206407;PI;MONSENHOR GIL;86
2206357;PI;MILTON BRANDÃO;86
2206308;PI;MIGUEL LEÃO;86
2206209;PI;MIGUEL ALVES;86
2206100;PI;MATIAS OLÍMPIO;86
2206001;PI;MARCOS PARENTE;89
2205953;PI;MARCOLÂNDIA;89
2205904;PI;MANOEL EMÍDIO;89
2205854;PI;MADEIRO;86
2205805;PI;LUZILÂNDIA;86
2205706;PI;LUÍS CORREIA;86
2205607;PI;LANDRI SALES;89
2205599;PI;LAGOA DO SÍTIO;89
2205581;PI;LAGOA DO PIAUÍ;86
2205573;PI;LAGOA DE SÃO FRANCISCO;86
2205565;PI;LAGOA DO BARRO DO PIAUÍ;89
2205557;PI;LAGOA ALEGRE;86
2205540;PI;LAGOINHA DO PIAUÍ;86
2205532;PI;JUREMA;89
2205524;PI;JÚLIO BORGES;89
2205516;PI;JUAZEIRO DO PIAUÍ;86
2205508;PI;JOSÉ DE FREITAS;86
2205458;PI;JOCA MARQUES;86
2205409;PI;JOAQUIM PIRES;86
2205359;PI;JOÃO COSTA;89
2205300;PI;JERUMENHA;89
2205276;PI;JATOBÁ DO PIAUÍ;86
2205250;PI;JARDIM DO MULATO;86
2205201;PI;JAICÓS;89
2205151;PI;JACOBINA DO PIAUÍ;89
2205102;PI;ITAUEIRA;89
2205003;PI;ITAINÓPOLIS;89
2204907;PI;ISAÍAS COELHO;89
2204808;PI;IPIRANGA DO PIAUÍ;89
2204709;PI;INHUMA;89
2204659;PI;ILHA GRANDE;86
2204600;PI;HUGO NAPOLEÃO;86
2204550;PI;GUARIBAS;89
2204501;PI;GUADALUPE;89
2204402;PI;GILBUÉS;89
2204352;PI;GEMINIANO;89
2204303;PI;FRONTEIRAS;89
2204204;PI;FRANCISCO SANTOS;89
2204154;PI;FRANCISCO MACEDO;89
2204105;PI;FRANCISCO AYRES;89
2204006;PI;FRANCINÓPOLIS;89
2203909;PI;FLORIANO;89
2203859;PI;FLORESTA DO PIAUÍ;89
2203800;PI;FLORES DO PIAUÍ;89
2203750;PI;FARTURA DO PIAUÍ;89
2203701;PI;ESPERANTINA;86
2203602;PI;ELISEU MARTINS;89
2203503;PI;ELESBÃO VELOSO;86
2203453;PI;DOM INOCÊNCIO;89
2203420;PI;DOMINGOS MOURÃO;86
2203404;PI;DOM EXPEDITO LOPES;89
2203354;PI;DIRCEU ARCOVERDE;89
2203305;PI;DEMERVAL LOBÃO;86
2203271;PI;CURRAL NOVO DO PIAUÍ;89
2203255;PI;CURRALINHOS;86
2203230;PI;CURRAIS;89
2203206;PI;CURIMATÁ;89
2203107;PI;CRISTINO CASTRO;89
2203008;PI;CRISTALÂNDIA DO PIAUÍ;89
2202901;PI;CORRENTE;89
2202851;PI;CORONEL JOSÉ DIAS;89
2202802;PI;CONCEIÇÃO DO CANINDÉ;89
2202778;PI;COLÔNIA DO PIAUÍ;89
2202752;PI;COLÔNIA DO GURGUÉIA;89
2202737;PI;COIVARAS;86
2202729;PI;COCAL DOS ALVES;86
2202711;PI;COCAL DE TELHA;86
2202703;PI;COCAL;86
2202653;PI;CAXINGÓ;86
2202604;PI;CASTELO DO PIAUÍ;86
2202554;PI;CARIDADE DO PIAUÍ;89
2202539;PI;CARAÚBAS DO PIAUÍ;86
2202505;PI;CARACOL;89
2202406;PI;CAPITÃO DE CAMPOS;86
2202307;PI;CANTO DO BURITI;89
2202251;PI;CANAVIEIRA;89
2202208;PI;CAMPO MAIOR;86
2202174;PI;CAMPO LARGO DO PIAUÍ;86
2202133;PI;CAMPO GRANDE DO PIAUÍ;89
2202117;PI;CAMPO ALEGRE DO FIDALGO;89
2202109;PI;CAMPINAS DO PIAUÍ;89
2202091;PI;CALDEIRÃO GRANDE DO PIAUÍ;89
2202083;PI;CAJUEIRO DA PRAIA;86
2202075;PI;CAJAZEIRAS DO PIAUÍ;89
2202059;PI;CABECEIRAS DO PIAUÍ;86
2202026;PI;BURITI DOS MONTES;86
2202000;PI;BURITI DOS LOPES;86
2201988;PI;BREJO DO PIAUÍ;89
2201960;PI;BRASILEIRA;86
2201945;PI;BOQUEIRÃO DO PIAUÍ;86
2201929;PI;BONFIM DO PIAUÍ;89
2201919;PI;BOM PRINCÍPIO DO PIAUÍ;86
2201903;PI;BOM JESUS;89
2201804;PI;BOCAINA;89
2201770;PI;BOA HORA;86
2201739;PI;BETÂNIA DO PIAUÍ;89
2201705;PI;BERTOLÍNIA;89
2201606;PI;BENEDITINOS;86
2201572;PI;BELÉM DO PIAUÍ;89
2201556;PI;BELA VISTA DO PIAUÍ;89
2201507;PI;BATALHA;86
2201408;PI;BARRO DURO;86
2201309;PI;BARREIRAS DO PIAUÍ;89
2201200;PI;BARRAS;86
2201176;PI;BARRA D'ALCÂNTARA;89
2201150;PI;BAIXA GRANDE DO RIBEIRO;89
2201101;PI;AVELINO LOPES;89
2201051;PI;ASSUNÇÃO DO PIAUÍ;86
2201002;PI;ARRAIAL;89
2200905;PI;AROAZES;89
2200806;PI;ANTÔNIO ALMEIDA;89
2200707;PI;ANÍSIO DE ABREU;89
2200608;PI;ANGICAL DO PIAUÍ;86
2200509;PI;AMARANTE;86
2200459;PI;ALVORADA DO GURGUÉIA;89
2200400;PI;ALTOS;86
2200301;PI;ALTO LONGÁ;86
2200277;PI;ALEGRETE DO PIAUÍ;89
2200251;PI;ALAGOINHA DO PIAUÍ;89
2200202;PI;ÁGUA BRANCA;86
2200103;PI;AGRICOLÂNDIA;86
2200053;PI;ACAUÃ;89
2114007;MA;ZÉ DOCA;98
2113009;MA;VITORINO FREIRE;98
2112902;MA;VITÓRIA DO MEARIM;98
2112852;MA;VILA NOVA DOS MARTÍRIOS;99
2112803;MA;VIANA;98
2112704;MA;VARGEM GRANDE;98
2112605;MA;URBANO SANTOS;98
2112506;MA;TUTÓIA;98
2112456;MA;TURILÂNDIA;98
2112407;MA;TURIAÇU;98
2112308;MA;TUNTUM;99
2112274;MA;TUFILÂNDIA;98
2112233;MA;TRIZIDELA DO VALE;99
2112209;MA;TIMON;99
2112100;MA;TIMBIRAS;99
2112001;MA;TASSO FRAGOSO;99
2111953;MA;SUCUPIRA DO RIACHÃO;99
2111904;MA;SUCUPIRA DO NORTE;99
2111805;MA;SÍTIO NOVO;99
2111789;MA;SERRANO DO MARANHÃO;98
2111763;MA;SENADOR LA ROCQUE;99
2111748;MA;SENADOR ALEXANDRE COSTA;99
2111722;MA;SATUBINHA;98
2111706;MA;SÃO VICENTE FERRER;98
2111672;MA;SÃO ROBERTO;99
2111631;MA;SÃO RAIMUNDO DO DOCA BEZERRA;99
2111607;MA;SÃO RAIMUNDO DAS MANGABEIRAS;99
2111573;MA;SÃO PEDRO DOS CRENTES;99
2111532;MA;SÃO PEDRO DA ÁGUA BRANCA;99
2111508;MA;SÃO MATEUS DO MARANHÃO;99
2111409;MA;SÃO LUÍS GONZAGA DO MARANHÃO;99
2111300;MA;SÃO LUÍS;98
2111250;MA;SÃO JOSÉ DOS BASÍLIOS;99
2111201;MA;SÃO JOSÉ DE RIBAMAR;98
2111102;MA;SÃO JOÃO DOS PATOS;99
2111078;MA;SÃO JOÃO DO SOTER;99
2111052;MA;SÃO JOÃO DO PARAÍSO;99
2111029;MA;SÃO JOÃO DO CARÚ;98
2111003;MA;SÃO JOÃO BATISTA;98
2110906;MA;SÃO FRANCISCO DO MARANHÃO;99
2110856;MA;SÃO FRANCISCO DO BREJÃO;99
2110807;MA;SÃO FÉLIX DE BALSAS;99
2110708;MA;SÃO DOMINGOS DO MARANHÃO;99
2110658;MA;SÃO DOMINGOS DO AZEITÃO;99
2110609;MA;SÃO BERNARDO;98
2110500;MA;SÃO BENTO;98
2110401;MA;SÃO BENEDITO DO RIO PRETO;98
2110302;MA;SANTO ANTÔNIO DOS LOPES;99
2110278;MA;SANTO AMARO DO MARANHÃO;98
2110237;MA;SANTANA DO MARANHÃO;98
2110203;MA;SANTA RITA;98
2110104;MA;SANTA QUITÉRIA DO MARANHÃO;98
2110039;MA;SANTA LUZIA DO PARUÁ;98
2110005;MA;SANTA LUZIA;98
2109908;MA;SANTA INÊS;98
2109809;MA;SANTA HELENA;98
2109759;MA;SANTA FILOMENA DO MARANHÃO;99
2109700;MA;SAMBAÍBA;99
2109601;MA;ROSÁRIO;98
2109551;MA;RIBAMAR FIQUENE;99
2109502;MA;RIACHÃO;99
2109452;MA;RAPOSA;98
2109403;MA;PRIMEIRA CRUZ;98
2109304;MA;PRESIDENTE VARGAS;98
2109270;MA;PRESIDENTE SARNEY;98
2109239;MA;PRESIDENTE MÉDICI;98
2109205;MA;PRESIDENTE JUSCELINO;98
2109106;MA;PRESIDENTE DUTRA;99
2109056;MA;PORTO RICO DO MARANHÃO;98
2109007;MA;PORTO FRANCO;99
2108900;MA;POÇÃO DE PEDRAS;99
2108801;MA;PIRAPEMAS;98
2108702;MA;PIO XII;98
2108603;MA;PINHEIRO;98
2108454;MA;PERITORÓ;99
2108405;MA;PERI MIRIM;98
2108306;MA;PENALVA;98
